age_group,n,pcr_em,prev
0_1,183,57,0.31147541
1_4,517,145,0.280464217
5_9,137,22,0.160583942
10_19,109,24,0.220183486
20_29,185,25,0.135135135
30_39,303,25,0.082508251
40_49,269,16,0.059479554
50_59,194,9,0.046391753
60_69,182,15,0.082417582
70p,126,20,0.158730159
