day no. ,period,Date,School
246,Summer Holiday,03-Sep,0
247,Summer Holiday,04-Sep,0
248,Autumn term,05-Sep,1
249,Autumn term,06-Sep,1
250,Autumn term,07-Sep,1
251,Autumn term,08-Sep,1
252,Autumn term,09-Sep,1
253,Autumn term,10-Sep,1
254,Autumn term,11-Sep,1
255,Autumn term,12-Sep,1
256,Autumn term,13-Sep,1
257,Autumn term,14-Sep,1
258,Autumn term,15-Sep,1
259,Autumn term,16-Sep,1
260,Autumn term,17-Sep,1
261,Autumn term,18-Sep,1
262,Autumn term,19-Sep,1
263,Autumn term,20-Sep,1
264,Autumn term,21-Sep,1
265,Autumn term,22-Sep,1
266,Autumn term,23-Sep,1
267,Autumn term,24-Sep,1
268,Autumn term,25-Sep,1
269,Autumn term,26-Sep,1
270,Autumn term,27-Sep,1
271,Autumn term,28-Sep,1
272,Autumn term,29-Sep,1
273,Autumn term,30-Sep,1
274,Autumn term,01-Oct,1
275,Autumn term,02-Oct,1
276,Autumn term,03-Oct,1
277,Autumn term,04-Oct,1
278,Autumn term,05-Oct,1
279,Autumn term,06-Oct,1
280,Autumn term,07-Oct,1
281,Autumn term,08-Oct,1
282,Autumn term,09-Oct,1
283,Autumn term,10-Oct,1
284,Autumn term,11-Oct,1
285,Autumn term,12-Oct,1
286,Autumn term,13-Oct,1
287,Autumn term,14-Oct,1
288,Autumn term,15-Oct,1
289,Autumn term,16-Oct,1
290,Autumn term,17-Oct,1
291,Autumn term,18-Oct,1
292,Autumn term,19-Oct,1
293,Autumn term,20-Oct,1
294,Autumn term,21-Oct,1
295,Autumn term,22-Oct,1
296,Half Term,23-Oct,0
297,Half Term,24-Oct,0
298,Half Term,25-Oct,0
299,Half Term,26-Oct,0
300,Half Term,27-Oct,0
301,Autumn term,28-Oct,1
302,Autumn term,29-Oct,1
303,Autumn term,30-Oct,1
304,Autumn term,31-Oct,1
305,Autumn term,01-Nov,1
306,Autumn term,02-Nov,1
307,Autumn term,03-Nov,1
308,Autumn term,04-Nov,1
309,Autumn term,05-Nov,1
310,Autumn term,06-Nov,1
311,Autumn term,07-Nov,1
312,Autumn term,08-Nov,1
313,Autumn term,09-Nov,1
314,Autumn term,10-Nov,1
315,Autumn term,11-Nov,1
316,Autumn term,12-Nov,1
317,Autumn term,13-Nov,1
318,Autumn term,14-Nov,1
319,Autumn term,15-Nov,1
320,Autumn term,16-Nov,1
321,Autumn term,17-Nov,1
322,Autumn term,18-Nov,1
323,Autumn term,19-Nov,1
324,Autumn term,20-Nov,1
325,Autumn term,21-Nov,1
326,Autumn term,22-Nov,1
327,Autumn term,23-Nov,1
328,Autumn term,24-Nov,1
329,Autumn term,25-Nov,1
330,Autumn term,26-Nov,1
331,Autumn term,27-Nov,1
332,Autumn term,28-Nov,1
333,Autumn term,29-Nov,1
334,Autumn term,30-Nov,1
335,Autumn term,01-Dec,1
336,Autumn term,02-Dec,1
337,Autumn term,03-Dec,1
338,Autumn term,04-Dec,1
339,Autumn term,05-Dec,1
340,Autumn term,06-Dec,1
341,Autumn term,07-Dec,1
342,Autumn term,08-Dec,1
343,Autumn term,09-Dec,1
344,Autumn term,10-Dec,1
345,Autumn term,11-Dec,1
346,Autumn term,12-Dec,1
347,Autumn term,13-Dec,1
348,Autumn term,14-Dec,1
349,Autumn term,15-Dec,1
350,Winter holiday,16-Dec,0
351,Winter holiday,17-Dec,0
352,Winter holiday,18-Dec,0
353,Winter holiday,19-Dec,0
354,Winter holiday,20-Dec,0
355,Winter holiday,21-Dec,0
356,Winter holiday,22-Dec,0
357,Winter holiday,23-Dec,0
358,Winter holiday,24-Dec,0
359,Winter holiday,25-Dec,0
360,Winter holiday,26-Dec,0
361,Winter holiday,27-Dec,0
362,Winter holiday,28-Dec,0
363,Winter holiday,29-Dec,0
364,Winter holiday,30-Dec,0
365,Winter holiday,31-Dec,0
