genotype,samples,genogroup
GI.2,2,GI
GI.3,13,GI
GI.4,9,GI
GI.5,1,GI
GI.6,3,GI
GI.un,12,GI
GII.1,31,GII
GII.13,1,GII
GII.2,26,GII
GII3,43,GII
GII.4,228,GII
GII.6,70,GII
GII.7,16,GII
GII.8,4,GII
GII.9,1,GII
GII.un,16,GII
Mixed,1,NA
