age_cat,cases,person_years,per1000personyears,CI_lower,CI_upper
0 to 1,5,26.9,178.2,70.5,450
1 to 5,26,190.8,137.3,92.6,203.4
5 to 15,26,424.1,59.6,36.8,96.5
15 to 64,103,2647.8,39,31.3,48.7
65+,38,1369.1,27.7,19.6,39.1
5-,31,217.6,142.6,99.8,203.9
